03-22-2022	mo	VERSION: 2020_01_31

Temperatursteuerung:	automatisch (ILX-TEC) (AD590: 0.0,1.0,0.855)
Anfangstemperatur /°C:	30.1
Delta-Temperatur /°C:	5.0
Endtemperatur /°C:	30.1
Anzahl der Temperaturen:	1
aktuelle Temperatur-Nr:	1
aktuelle Temperatur /°C:	30.1

Stromquelle:	LDD5060	U_Messung
Startstrom /mA:	190.0
d-Strom /mA:	10.0
Maximalstrom /mA:	700.0
Anzahl der Ströme:	52
aktuelle Strom-Nr:
aktueller Strom /mA:
Art:	CW	keinePolarisation



Einstellspannung (E3631A_P6V): 0.0 ( 0.25) 3.0 V ; 0.75 V


Messfassungsnr.:	C030652








Messgeraet:	Q8384 (ADVANTEST)
Messgeraet:	FSUP/FSW





















Projektnummer:	9618
Projektverantwortlicher:	Wohlfeil
Lasertyp:	TPL
Wafer:	R1268-4
TF/Riegel/Chip:	070709
Prozess:	Z1-9581-TRA
Beschichtung:	Z1-9648-FAC
AVT-Losdokument:	Z2-2654-LCM

Laenge /µm:	6000
Breite /µm:	400
Lambda /nm:	820
Aufbauart:	p-up
Traegerart:	Chip
Traeger-Nr.:	C030652
Diodenname:	070709
Absorber /mA:	








Kommentar:	

Current (mA)	Frequency (GHz)	Intensity (dBm)	C_absorber (A)	Temperature (deg.C)
190.0	11.85	-93.5763	0.086231	30.0
190.0	11.85063	-92.2344	0.086231	30.0
190.0	11.85126	-90.4680	0.086231	30.0
190.0	11.85189	-91.0122	0.086231	30.0
190.0	11.85252	-88.3321	0.086231	30.0
190.0	11.85315	-93.1742	0.086231	30.0
190.0	11.85378	-92.5367	0.086231	30.0
190.0	11.85441	-91.1114	0.086231	30.0
190.0	11.85504	-93.3794	0.086231	30.0
190.0	11.85567	-89.3953	0.086231	30.0
190.0	11.8563	-89.1221	0.086231	30.0
190.0	11.85693	-89.2020	0.086231	30.0
190.0	11.85756	-91.0372	0.086231	30.0
190.0	11.85819	-90.4370	0.086231	30.0
190.0	11.85882	-91.6547	0.086231	30.0
190.0	11.85945	-90.5208	0.086231	30.0
190.0	11.86008	-90.8168	0.086231	30.0
190.0	11.86071	-92.9236	0.086231	30.0
190.0	11.86134	-90.6827	0.086231	30.0
190.0	11.86197	-87.9200	0.086231	30.0
190.0	11.8626	-88.3909	0.086231	30.0
190.0	11.86323	-91.8674	0.086231	30.0
190.0	11.86386	-87.5260	0.086231	30.0
190.0	11.86449	-88.9137	0.086231	30.0
190.0	11.86512	-89.9351	0.086231	30.0
190.0	11.86575	-88.3145	0.086231	30.0
190.0	11.86638	-91.4881	0.086231	30.0
190.0	11.86701	-86.6078	0.086231	30.0
190.0	11.86764	-90.4378	0.086231	30.0
190.0	11.86827	-91.9528	0.086231	30.0
190.0	11.8689	-88.3020	0.086231	30.0
190.0	11.86953	-87.9089	0.086231	30.0
190.0	11.87016	-91.0355	0.086231	30.0
