03-22-2022	mo	VERSION: 2020_01_31

Temperatursteuerung:	automatisch (ILX-TEC) (AD590: 0.0,1.0,0.855)
Anfangstemperatur /°C:	30.1
Delta-Temperatur /°C:	5.0
Endtemperatur /°C:	30.1
Anzahl der Temperaturen:	1
aktuelle Temperatur-Nr:	1
aktuelle Temperatur /°C:	30.1

Stromquelle:	LDD5060	U_Messung
Startstrom /mA:	190.0
d-Strom /mA:	10.0
Maximalstrom /mA:	700.0
Anzahl der Ströme:	52
aktuelle Strom-Nr:
aktueller Strom /mA:
Art:	CW	keinePolarisation



Einstellspannung (E3631A_P6V): 0.0 ( 0.25) 3.0 V ; 0.75 V


Messfassungsnr.:	C030652








Messgeraet:	Q8384 (ADVANTEST)
Messgeraet:	FSUP/FSW





















Projektnummer:	9618
Projektverantwortlicher:	Wohlfeil
Lasertyp:	TPL
Wafer:	R1268-4
TF/Riegel/Chip:	070709
Prozess:	Z1-9581-TRA
Beschichtung:	Z1-9648-FAC
AVT-Losdokument:	Z2-2654-LCM

Laenge /µm:	6000
Breite /µm:	400
Lambda /nm:	820
Aufbauart:	p-up
Traegerart:	Chip
Traeger-Nr.:	C030652
Diodenname:	070709
Absorber /mA:	








Kommentar:	

Current (mA)	Wavelength (nm)	Intensity	C_absorber (A)	Temperature (deg.C)
190.0	805.75	-62.478	0.086231	30.0
190.0	805.8	-63.654	0.086231	30.0
190.0	805.85	-59.268	0.086231	30.0
190.0	805.9	-57.923	0.086231	30.0
190.0	805.95	-61.654	0.086231	30.0
190.0	806.0	-65.506	0.086231	30.0
190.0	806.05	-56.836	0.086231	30.0
190.0	806.1	-59.191	0.086231	30.0
190.0	806.15	-58.199	0.086231	30.0
190.0	806.2	-59.521	0.086231	30.0
190.0	806.25	-61.379	0.086231	30.0
190.0	806.3	-60.721	0.086231	30.0
190.0	806.35	-58.717	0.086231	30.0
190.0	806.4	-62.288	0.086231	30.0
190.0	806.45	-62.224	0.086231	30.0
190.0	806.5	-58.715	0.086231	30.0
190.0	806.55	-76.661	0.086231	30.0
190.0	806.6	-76.664	0.086231	30.0
190.0	806.65	-57.765	0.086231	30.0
190.0	806.7	-59.185	0.086231	30.0
190.0	806.75	-57.574	0.086231	30.0
190.0	806.8	-61.749	0.086231	30.0
190.0	806.85	-69.912	0.086231	30.0
190.0	806.9	-60.793	0.086231	30.0
190.0	806.95	-66.355	0.086231	30.0
190.0	807.0	-64.594	0.086231	30.0
190.0	807.05	-59.769	0.086231	30.0
190.0	807.1	-61.473	0.086231	30.0
190.0	807.15	-58.93	0.086231	30.0
190.0	807.2	-59.186	0.086231	30.0
190.0	807.25	-62.164	0.086231	30.0
190.0	807.3	-58.726	0.086231	30.0
190.0	807.35	-58.778	0.086231	30.0
190.0	807.4	-58.403	0.086231	30.0
190.0	807.45	-65.915	0.086231	30.0
190.0	807.5	-60.928	0.086231	30.0
190.0	807.55	-59.895	0.086231	30.0
190.0	807.6	-59.155	0.086231	30.0
190.0	807.65	-59.423	0.086231	30.0
190.0	807.7	-60.643	0.086231	30.0
190.0	807.75	-57.75	0.086231	30.0
190.0	807.8	-63.729	0.086231	30.0
190.0	807.85	-60.246	0.086231	30.0
190.0	807.9	-59.432	0.086231	30.0
190.0	807.95	-59.319	0.086231	30.0
190.0	808.0	-58.917	0.086231	30.0
190.0	808.05	-58.393	0.086231	30.0
190.0	808.1	-62.756	0.086231	30.0
190.0	808.15	-57.28	0.086231	30.0
190.0	808.2	-57.793	0.086231	30.0
190.0	808.25	-57.829	0.086231	30.0
190.0	808.3	-65.927	0.086231	30.0
190.0	808.35	-60.818	0.086231	30.0
190.0	808.4	-60.025	0.086231	30.0
190.0	808.45	-58.573	0.086231	30.0
190.0	808.5	-59.483	0.086231	30.0
190.0	808.55	-60.915	0.086231	30.0
190.0	808.6	-59.903	0.086231	30.0
190.0	808.65	-63.77	0.086231	30.0
190.0	808.7	-71.106	0.086231	30.0
190.0	808.75	-62.827	0.086231	30.0
190.0	808.8	-61.696	0.086231	30.0
190.0	808.85	-59.313	0.086231	30.0
190.0	808.9	-65.321	0.086231	30.0
190.0	808.95	-56.671	0.086231	30.0
190.0	809.0	-63.128	0.086231	30.0
190.0	809.05	-60.53	0.086231	30.0
190.0	809.1	-59.752	0.086231	30.0
190.0	809.15	-59.504	0.086231	30.0
190.0	809.2	-58.718	0.086231	30.0
190.0	809.25	-59.221	0.086231	30.0
190.0	809.3	-59.154	0.086231	30.0
190.0	809.35	-56.067	0.086231	30.0
190.0	809.4	-59.466	0.086231	30.0
190.0	809.45	-60.071	0.086231	30.0
190.0	809.5	-64.557	0.086231	30.0
190.0	809.55	-58.528	0.086231	30.0
190.0	809.6	-59.633	0.086231	30.0
190.0	809.65	-58.623	0.086231	30.0
190.0	809.7	-59.358	0.086231	30.0
190.0	809.75	-58.514	0.086231	30.0
190.0	809.8	-58.06	0.086231	30.0
190.0	809.85	-63.169	0.086231	30.0
190.0	809.9	-56.439	0.086231	30.0
190.0	809.95	-58.644	0.086231	30.0
190.0	810.0	-59.451	0.086231	30.0
190.0	810.05	-56.236	0.086231	30.0
190.0	810.1	-58.032	0.086231	30.0
190.0	810.15	-63.405	0.086231	30.0
190.0	810.2	-59.643	0.086231	30.0
190.0	810.25	-60.089	0.086231	30.0
190.0	810.3	-56.963	0.086231	30.0
190.0	810.35	-59.778	0.086231	30.0
190.0	810.4	-62.475	0.086231	30.0
190.0	810.45	-57.576	0.086231	30.0
190.0	810.5	-60.262	0.086231	30.0
190.0	810.55	-56.389	0.086231	30.0
190.0	810.6	-58.229	0.086231	30.0
190.0	810.65	-76.948	0.086231	30.0
190.0	810.7	-60.86	0.086231	30.0
190.0	810.75	-55.59	0.086231	30.0
190.0	810.8	-59.387	0.086231	30.0
190.0	810.85	-60.819	0.086231	30.0
190.0	810.9	-59.655	0.086231	30.0
190.0	810.95	-64.496	0.086231	30.0
190.0	811.0	-56.831	0.086231	30.0
190.0	811.05	-60.883	0.086231	30.0
190.0	811.1	-57.776	0.086231	30.0
190.0	811.15	-57.433	0.086231	30.0
190.0	811.2	-57.447	0.086231	30.0
190.0	811.25	-65.262	0.086231	30.0
190.0	811.3	-57.182	0.086231	30.0
190.0	811.35	-61.128	0.086231	30.0
190.0	811.4	-59.632	0.086231	30.0
190.0	811.45	-58.444	0.086231	30.0
190.0	811.5	-60.987	0.086231	30.0
190.0	811.55	-57.974	0.086231	30.0
190.0	811.6	-57.737	0.086231	30.0
190.0	811.65	-60.024	0.086231	30.0
190.0	811.7	-60.996	0.086231	30.0
190.0	811.75	-60.826	0.086231	30.0
190.0	811.8	-59.836	0.086231	30.0
190.0	811.85	-58.834	0.086231	30.0
190.0	811.9	-58.084	0.086231	30.0
190.0	811.95	-57.734	0.086231	30.0
190.0	812.0	-56.981	0.086231	30.0
190.0	812.05	-67.412	0.086231	30.0
190.0	812.1	-59.918	0.086231	30.0
190.0	812.15	-56.384	0.086231	30.0
190.0	812.2	-56.591	0.086231	30.0
190.0	812.25	-58.486	0.086231	30.0
190.0	812.3	-57.464	0.086231	30.0
190.0	812.35	-57.281	0.086231	30.0
190.0	812.4	-58.363	0.086231	30.0
190.0	812.45	-64.625	0.086231	30.0
190.0	812.5	-56.933	0.086231	30.0
190.0	812.55	-56.857	0.086231	30.0
190.0	812.6	-65.052	0.086231	30.0
190.0	812.65	-57.669	0.086231	30.0
190.0	812.7	-57.819	0.086231	30.0
190.0	812.75	-60.911	0.086231	30.0
190.0	812.8	-57.421	0.086231	30.0
190.0	812.85	-63.243	0.086231	30.0
190.0	812.9	-62.772	0.086231	30.0
190.0	812.95	-57.98	0.086231	30.0
190.0	813.0	-63.204	0.086231	30.0
190.0	813.05	-63.513	0.086231	30.0
190.0	813.1	-58.528	0.086231	30.0
190.0	813.15	-58.2	0.086231	30.0
190.0	813.2	-58.854	0.086231	30.0
190.0	813.25	-57.145	0.086231	30.0
190.0	813.3	-57.768	0.086231	30.0
190.0	813.35	-59.048	0.086231	30.0
190.0	813.4	-57.033	0.086231	30.0
190.0	813.45	-57.946	0.086231	30.0
190.0	813.5	-60.831	0.086231	30.0
190.0	813.55	-63.764	0.086231	30.0
190.0	813.6	-58.747	0.086231	30.0
190.0	813.65	-59.479	0.086231	30.0
190.0	813.7	-57.577	0.086231	30.0
190.0	813.75	-60.031	0.086231	30.0
190.0	813.8	-65.046	0.086231	30.0
190.0	813.85	-57.305	0.086231	30.0
190.0	813.9	-56.521	0.086231	30.0
190.0	813.95	-57.899	0.086231	30.0
190.0	814.0	-57.941	0.086231	30.0
190.0	814.05	-58.469	0.086231	30.0
190.0	814.1	-60.297	0.086231	30.0
190.0	814.15	-58.142	0.086231	30.0
190.0	814.2	-57.577	0.086231	30.0
190.0	814.25	-61.077	0.086231	30.0
190.0	814.3	-57.774	0.086231	30.0
190.0	814.35	-58.014	0.086231	30.0
190.0	814.4	-58.526	0.086231	30.0
190.0	814.45	-57.223	0.086231	30.0
190.0	814.5	-57.361	0.086231	30.0
190.0	814.55	-59.496	0.086231	30.0
190.0	814.6	-58.222	0.086231	30.0
190.0	814.65	-56.649	0.086231	30.0
190.0	814.7	-57.155	0.086231	30.0
190.0	814.75	-57.266	0.086231	30.0
190.0	814.8	-57.799	0.086231	30.0
190.0	814.85	-58.966	0.086231	30.0
190.0	814.9	-59.175	0.086231	30.0
190.0	814.95	-60.105	0.086231	30.0
190.0	815.0	-60.288	0.086231	30.0
190.0	815.05	-61.416	0.086231	30.0
190.0	815.1	-62.032	0.086231	30.0
190.0	815.15	-55.722	0.086231	30.0
190.0	815.2	-57.263	0.086231	30.0
190.0	815.25	-56.775	0.086231	30.0
190.0	815.3	-60.31	0.086231	30.0
190.0	815.35	-56.928	0.086231	30.0
190.0	815.4	-55.958	0.086231	30.0
190.0	815.45	-59.407	0.086231	30.0
190.0	815.5	-58.093	0.086231	30.0
190.0	815.55	-58.115	0.086231	30.0
190.0	815.6	-58.393	0.086231	30.0
190.0	815.65	-56.026	0.086231	30.0
190.0	815.7	-59.111	0.086231	30.0
190.0	815.75	-56.85	0.086231	30.0
190.0	815.8	-57.202	0.086231	30.0
190.0	815.85	-56.257	0.086231	30.0
190.0	815.9	-57.858	0.086231	30.0
190.0	815.95	-57.034	0.086231	30.0
190.0	816.0	-56.019	0.086231	30.0
190.0	816.05	-56.103	0.086231	30.0
190.0	816.1	-57.079	0.086231	30.0
190.0	816.15	-56.977	0.086231	30.0
190.0	816.2	-55.929	0.086231	30.0
190.0	816.25	-59.317	0.086231	30.0
190.0	816.3	-57.67	0.086231	30.0
190.0	816.35	-55.275	0.086231	30.0
190.0	816.4	-57.075	0.086231	30.0
190.0	816.45	-56.574	0.086231	30.0
190.0	816.5	-59.394	0.086231	30.0
190.0	816.55	-60.001	0.086231	30.0
190.0	816.6	-57.945	0.086231	30.0
190.0	816.65	-55.824	0.086231	30.0
190.0	816.7	-58.476	0.086231	30.0
190.0	816.75	-56.749	0.086231	30.0
190.0	816.8	-56.214	0.086231	30.0
190.0	816.85	-56.874	0.086231	30.0
190.0	816.9	-58.883	0.086231	30.0
190.0	816.95	-60.218	0.086231	30.0
190.0	817.0	-55.918	0.086231	30.0
190.0	817.05	-59.958	0.086231	30.0
190.0	817.1	-56.782	0.086231	30.0
190.0	817.15	-58.253	0.086231	30.0
190.0	817.2	-55.98	0.086231	30.0
190.0	817.25	-59.222	0.086231	30.0
190.0	817.3	-57.754	0.086231	30.0
190.0	817.35	-57.179	0.086231	30.0
190.0	817.4	-58.262	0.086231	30.0
190.0	817.45	-56.147	0.086231	30.0
190.0	817.5	-58.706	0.086231	30.0
190.0	817.55	-57.899	0.086231	30.0
190.0	817.6	-56.472	0.086231	30.0
190.0	817.65	-55.435	0.086231	30.0
190.0	817.7	-57.939	0.086231	30.0
190.0	817.75	-56.653	0.086231	30.0
190.0	817.8	-58.756	0.086231	30.0
190.0	817.85	-56.91	0.086231	30.0
190.0	817.9	-56.013	0.086231	30.0
190.0	817.95	-58.465	0.086231	30.0
190.0	818.0	-55.789	0.086231	30.0
190.0	818.05	-56.136	0.086231	30.0
190.0	818.1	-55.784	0.086231	30.0
190.0	818.15	-55.597	0.086231	30.0
190.0	818.2	-56.067	0.086231	30.0
190.0	818.25	-55.37	0.086231	30.0
190.0	818.3	-56.46	0.086231	30.0
190.0	818.35	-55.661	0.086231	30.0
