03-22-2022	mo	VERSION: 2020_01_31

Temperatursteuerung:	automatisch (ILX-TEC) (AD590: 0.0,1.0,0.855)
Anfangstemperatur /°C:	30.1
Delta-Temperatur /°C:	5.0
Endtemperatur /°C:	30.1
Anzahl der Temperaturen:	1
aktuelle Temperatur-Nr:	1
aktuelle Temperatur /°C:	30.1

Stromquelle:	LDD5060	U_Messung
Startstrom /mA:	190.0
d-Strom /mA:	10.0
Maximalstrom /mA:	700.0
Anzahl der Ströme:	52
aktuelle Strom-Nr:
aktueller Strom /mA:
Art:	CW	keinePolarisation



Einstellspannung (E3631A_P6V): 0.0 ( 0.25) 3.0 V ; 0.75 V


Messfassungsnr.:	C030652








Messgeraet:	Q8384 (ADVANTEST)
Messgeraet:	FSUP/FSW





















Projektnummer:	9618
Projektverantwortlicher:	Wohlfeil
Lasertyp:	TPL
Wafer:	R1268-4
TF/Riegel/Chip:	070709
Prozess:	Z1-9581-TRA
Beschichtung:	Z1-9648-FAC
AVT-Losdokument:	Z2-2654-LCM

Laenge /µm:	6000
Breite /µm:	400
Lambda /nm:	820
Aufbauart:	p-up
Traegerart:	Chip
Traeger-Nr.:	C030652
Diodenname:	070709
Absorber /mA:	








Kommentar:	

Current (mA)	Frequency (GHz)	Intensity (dBm)	C_absorber (A)	Temperature (deg.C)
190.0	17.52455	-104.0885	0.086231	30.0
190.0	17.52456	-107.4805	0.086231	30.0
190.0	17.52457	-103.3535	0.086231	30.0
190.0	17.52458	-104.2807	0.086231	30.0
190.0	17.52459	-106.7184	0.086231	30.0
190.0	17.5246	-108.6155	0.086231	30.0
190.0	17.52461	-105.9545	0.086231	30.0
190.0	17.52462	-107.9526	0.086231	30.0
190.0	17.52463	-107.9499	0.086231	30.0
190.0	17.52464	-102.3542	0.086231	30.0
190.0	17.52465	-104.5039	0.086231	30.0
190.0	17.52466	-111.3077	0.086231	30.0
190.0	17.52467	-104.3690	0.086231	30.0
190.0	17.52468	-104.1596	0.086231	30.0
190.0	17.52469	-104.7291	0.086231	30.0
190.0	17.5247	-102.5494	0.086231	30.0
190.0	17.52471	-103.1879	0.086231	30.0
190.0	17.52472	-105.6322	0.086231	30.0
190.0	17.52473	-105.7566	0.086231	30.0
190.0	17.52474	-104.1695	0.086231	30.0
190.0	17.52475	-104.4814	0.086231	30.0
190.0	17.52476	-105.2150	0.086231	30.0
190.0	17.52477	-107.1323	0.086231	30.0
190.0	17.52478	-107.8133	0.086231	30.0
190.0	17.52479	-103.7453	0.086231	30.0
190.0	17.5248	-106.1631	0.086231	30.0
190.0	17.52481	-101.1925	0.086231	30.0
190.0	17.52482	-102.2117	0.086231	30.0
190.0	17.52483	-108.0462	0.086231	30.0
190.0	17.52484	-107.8668	0.086231	30.0
190.0	17.52485	-110.6741	0.086231	30.0
190.0	17.52486	-107.8994	0.086231	30.0
190.0	17.52487	-105.2849	0.086231	30.0
190.0	17.52488	-100.5313	0.086231	30.0
190.0	17.52489	-100.5581	0.086231	30.0
190.0	17.5249	-100.6619	0.086231	30.0
190.0	17.52491	-98.6761	0.086231	30.0
190.0	17.52492	-101.5764	0.086231	30.0
190.0	17.52493	-113.1592	0.086231	30.0
190.0	17.52494	-104.1827	0.086231	30.0
190.0	17.52495	-102.7733	0.086231	30.0
190.0	17.52496	-102.7638	0.086231	30.0
190.0	17.52497	-104.1381	0.086231	30.0
190.0	17.52498	-99.4236	0.086231	30.0
190.0	17.52499	-98.7603	0.086231	30.0
190.0	17.525	-103.4863	0.086231	30.0
190.0	17.52501	-107.6503	0.086231	30.0
190.0	17.52502	-106.0379	0.086231	30.0
190.0	17.52503	-102.8474	0.086231	30.0
190.0	17.52504	-103.3443	0.086231	30.0
190.0	17.52505	-101.5923	0.086231	30.0
190.0	17.52506	-103.0495	0.086231	30.0
190.0	17.52507	-108.9772	0.086231	30.0
190.0	17.52508	-102.9245	0.086231	30.0
190.0	17.52509	-98.5325	0.086231	30.0
190.0	17.5251	-100.5092	0.086231	30.0
190.0	17.52511	-104.8782	0.086231	30.0
190.0	17.52512	-102.3546	0.086231	30.0
190.0	17.52513	-102.3535	0.086231	30.0
190.0	17.52514	-103.3384	0.086231	30.0
190.0	17.52515	-101.9888	0.086231	30.0
190.0	17.52516	-102.3666	0.086231	30.0
190.0	17.52517	-105.3332	0.086231	30.0
190.0	17.52518	-107.0810	0.086231	30.0
